pixid,noisy,label
87010,False,Corn
87011,False,Corn
87012,False,Corn
87013,False,Corn
87014,False,Corn
87015,False,Corn
87016,False,Corn
87017,False,Corn
87018,False,Corn
87019,False,Corn
87020,True,Sunflower
87021,True,Sunflower
87022,True,Sunflower
87023,True,Sunflower
87024,True,Sunflower
87025,True,Sunflower
87026,True,Sunflower
87027,True,Sunflower
87028,True,Sunflower
87029,True,Sunflower
87030,True,Corn_Ensilage
87031,True,Corn_Ensilage
87032,True,Corn_Ensilage
87033,True,Corn_Ensilage
87034,True,Corn_Ensilage
87035,True,Corn_Ensilage
87036,True,Corn_Ensilage
87037,True,Corn_Ensilage
87038,True,Corn_Ensilage
87039,True,Corn_Ensilage
87040,False,Corn
87041,False,Corn
87042,False,Corn
87043,False,Corn
87044,False,Corn
87045,False,Corn
87046,False,Corn
87047,False,Corn
87048,False,Corn
87049,False,Corn
87050,True,Sorghum
87051,True,Sorghum
87052,True,Sorghum
87053,True,Sorghum
87054,True,Sorghum
87055,True,Sorghum
87056,True,Sorghum
87057,True,Sorghum
87058,True,Sorghum
87059,True,Sorghum
87060,False,Corn
87061,False,Corn
87062,False,Corn
87063,False,Corn
87064,False,Corn
87065,False,Corn
87066,False,Corn
87067,False,Corn
87068,False,Corn
87069,False,Corn
87070,False,Corn
87071,False,Corn
87072,False,Corn
87073,False,Corn
87074,False,Corn
87075,False,Corn
87076,False,Corn
87077,False,Corn
87078,False,Corn
87079,False,Corn
87080,True,Wheat
87081,True,Wheat
87082,True,Wheat
87083,True,Wheat
87084,True,Wheat
87085,True,Wheat
87086,True,Wheat
87087,True,Wheat
87088,True,Wheat
87089,True,Wheat
87090,False,Corn
87091,False,Corn
87092,False,Corn
87093,False,Corn
87094,False,Corn
87095,False,Corn
87096,False,Corn
87097,False,Corn
87098,False,Corn
87099,False,Corn
87100,False,Corn
87101,False,Corn
87102,False,Corn
87103,False,Corn
87104,False,Corn
87105,False,Corn
87106,False,Corn
87107,False,Corn
87108,False,Corn
87109,False,Corn
87110,False,Corn
87111,False,Corn
87112,False,Corn
87113,False,Corn
87114,False,Corn
87115,False,Corn
87116,False,Corn
87117,False,Corn
87118,False,Corn
87119,False,Corn
87120,False,Corn
87121,False,Corn
87122,False,Corn
87123,False,Corn
87124,False,Corn
87125,False,Corn
87126,False,Corn
87127,False,Corn
87128,False,Corn
87129,False,Corn
87130,False,Corn
87131,False,Corn
87132,False,Corn
87133,False,Corn
87134,False,Corn
87135,False,Corn
87136,False,Corn
87137,False,Corn
87138,False,Corn
87139,False,Corn
87140,False,Corn
87141,False,Corn
87142,False,Corn
87143,False,Corn
87144,False,Corn
87145,False,Corn
87146,False,Corn
87147,False,Corn
87148,False,Corn
87149,False,Corn
87150,True,Evergreen
87151,True,Evergreen
87152,True,Evergreen
87153,True,Evergreen
87154,True,Evergreen
87155,True,Evergreen
87156,True,Evergreen
87157,True,Evergreen
87158,True,Evergreen
87159,True,Evergreen
87160,False,Corn
87161,False,Corn
87162,False,Corn
87163,False,Corn
87164,False,Corn
87165,False,Corn
87166,False,Corn
87167,False,Corn
87168,False,Corn
87169,False,Corn
87170,False,Corn
87171,False,Corn
