class_names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Corn,0.57,0.72,0.15,0.3,100.0,200.0,5.0,25.0,250.0,310.0,10.0,30.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Corn_Ensilage,0.57,0.72,0.15,0.3,100.0,200.0,5.0,25.0,250.0,310.0,5.0,10.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sorghum,0.62,0.77,0.15,0.3,120.0,190.0,20.0,40.0,290.0,295.0,25.0,30.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sunflower,0.67,0.82,0.15,0.3,102.0,192.0,15.0,40.0,180.0,240.0,5.0,20.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Soy,0.67,0.82,0.15,0.3,140.0,220.0,15.0,45.0,270.0,320.0,20.0,45.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Wheat,0.52,0.67,0.2,0.35,30.0,90.0,5.0,25.0,125.0,175.0,5.0,25.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Rapeseed,0.7,0.8,0.05,0.2,30.0,45.0,15.0,25.0,80.0,90.0,3.0,12.0,500.0,10.0,0.6,0.7,0.05,0.15,85.0,95.0,3.0,12.0,135.0,145.0,5.0,15.0
Barley,0.52,0.67,0.2,0.35,30.0,90.0,5.0,25.0,120.0,170.0,5.0,25.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Wheat_Soy,0.5,0.55,0.1,0.15,45.0,55.0,10.0,15.0,130.0,135.0,2.0,5.0,500.0,10.0,0.65,0.7,0.1,0.15,170.0,180.0,10.0,15.0,280.0,300.0,25.0,35.0
Evergreen,0.01,0.015,0.55,0.7,0.0,365.0,100.0,150.0,0.0,365.0,100.0,150.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Decideous,0.2,0.35,0.4,0.5,23.0,27.0,15.0,20.0,315.0,320.0,15.0,20.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Water,0.01,0.02,-0.2,0.0,150.0,200.0,10.0,15.0,50.0,200.0,10.0,15.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Build,0.01,0.02,0.2,0.3,0.0,365.0,10.0,15.0,0.0,365.0,10.0,15.0,500.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,1.0,26.0,51.0,76.0,101.0,126.0,151.0,176.0,201.0,226.0,251.0,276.0,301.0,326.0,351.0,,,,,,,,,,,
