class_names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Corn,500,10,0.57,0.72,0.15,0.3,100,200,5,25,250,310,10,30,,,,,,,,,,,,
Corn_Ensilage,500,10,0.57,0.72,0.15,0.3,100,200,5,25,250,310,5,10,,,,,,,,,,,,
Sorghum,500,10,0.62,0.77,0.15,0.3,120,190,20,40,290,295,25,30,,,,,,,,,,,,
Sunflower,500,10,0.67,0.82,0.15,0.3,102,192,15,40,180,240,5,20,,,,,,,,,,,,
Soy,500,10,0.67,0.82,0.15,0.3,140,220,15,45,270,320,20,45,,,,,,,,,,,,
Wheat,500,10,0.52,0.67,0.2,0.35,30,90,5,25,125,175,5,25,,,,,,,,,,,,
Rapeseed,500,10,0.7,0.8,0.05,0.2,30,45,15,25,80,90,3,12,0.6,0.7,0.05,0.15,85,95,3,12,135,145,5,15
Barley,500,10,0.52,0.67,0.2,0.35,30,90,5,25,120,170,5,25,,,,,,,,,,,,
Wheat_Soy,500,10,0.5,0.55,0.1,0.15,45,55,10,15,130,135,2,5,0.65,0.7,0.1,0.15,170,180,10,15,280,300,25,35
Evergreen,500,10,0.01,0.015,0.55,0.7,0,365,100,150,0,365,100,150,,,,,,,,,,,,
Decideous,500,10,0.2,0.35,0.4,0.5,23,27,15,20,315,320,15,20,,,,,,,,,,,,
Water,500,10,0.01,0.02,-0.2,0,150,200,10,15,50,200,10,15,,,,,,,,,,,,
Build,500,10,0.01,0.02,0.2,0.3,0,365,10,15,0,365,10,15,,,,,,,,,,,,
,1,26,51,76,101,126,151,176,201,226,251,276,301,326,351,,,,,,,,,,,
