,0,1,2,3,4,5,6,7,8,9
0.0,0.854,0.8384,0.8524,0.8564,0.836,0.8496,0.8416,0.8312,0.8468,1.0
0.05,0.8448,0.814,0.8516,0.8484,0.8328,0.8444,0.8376,0.822,0.84,0.95
0.1,0.8472,0.802,0.8212,0.8312,0.8264,0.8212,0.8152,0.812,0.84,0.9
0.15,0.8028,0.772,0.8292,0.8368,0.8004,0.8308,0.8072,0.8048,0.8196,0.85
0.2,0.8,0.8044,0.8264,0.8296,0.796,0.7928,0.7972,0.79,0.804,0.8
0.25,0.7752,0.7896,0.7796,0.7824,0.786,0.7832,0.8124,0.7484,0.7884,0.75
0.3,0.7848,0.7668,0.7576,0.7836,0.764,0.7648,0.7748,0.7244,0.774,0.7
0.35,0.6976,0.7492,0.7528,0.7288,0.7308,0.7104,0.724,0.708,0.7288,0.65
0.4,0.6996,0.6892,0.664,0.67,0.6624,0.712,0.7176,0.7032,0.7044,0.6
0.45,0.7032,0.6276,0.65,0.664,0.6296,0.6264,0.6908,0.6,0.6588,0.55
0.5,0.5976,0.6356,0.5916,0.6616,0.566,0.5296,0.5596,0.6028,0.5964,0.5
0.55,0.484,0.596,0.5172,0.5412,0.4956,0.5536,0.5472,0.5612,0.588,0.45
0.6,0.4808,0.454,0.468,0.462,0.4456,0.504,0.4888,0.4684,0.4792,0.4
0.65,0.4172,0.4356,0.4228,0.4096,0.4216,0.3676,0.4232,0.4208,0.4224,0.35
0.7,0.3448,0.3752,0.3016,0.3108,0.368,0.3912,0.3328,0.332,0.3032,0.3
0.75,0.2316,0.2608,0.242,0.2816,0.2428,0.2424,0.18,0.3024,0.22,0.25
0.8,0.1948,0.2044,0.1148,0.1904,0.2252,0.1648,0.1748,0.2,0.19,0.2
0.85,0.1012,0.1004,0.1312,0.1272,0.1444,0.1424,0.1276,0.1872,0.118,0.15
0.9,0.1224,0.0692,0.0972,0.0704,0.1052,0.124,0.0676,0.0712,0.058,0.1
0.95,0.0456,0.0412,0.0652,0.0408,0.0484,0.0508,0.052,0.0408,0.048,0.05
1.0,0.0268,0.0256,0.022,0.016,0.032,0.038,0.0164,0.0108,0.0264,0.0
