,SVM-RBF NDVI,SVM-RBF NDVI STD
0.0,0.8177200000000001,0.07123970178988055
0.05,0.79516,0.06225837203853701
0.1,0.7644400000000001,0.053732324225429395
0.15,0.72668,0.04899924715974954
0.2,0.69084,0.0432922677212045
0.25,0.66848,0.038790514304401794
0.3,0.6301599999999999,0.03754710227020041
0.35,0.5962,0.033058735608005346
0.4,0.55412,0.03273274948562814
0.45,0.50064,0.031066494992372594
0.5,0.45363999999999993,0.03264322968770774
0.55,0.42064,0.030435184317569766
0.6,0.3816,0.02949229654597206
0.65,0.33684,0.023770345671305107
0.7,0.28903999999999996,0.022184839668366117
0.75,0.23611999999999997,0.018569317584541317
0.8,0.19319999999999998,0.020565343015212106
0.85,0.1552,0.031944396135229175
0.9,0.11424000000000001,0.02308107449838503
0.95,0.07780000000000001,0.019955728779253116
1.0,0.050839999999999996,0.02393357474344357
