,0,1,2,3,4,5,6,7,8,9
0.0,0.8208,0.82,0.8272,0.8284,0.8236,0.8428,0.8228,0.8224,0.8336,0.8696
0.05,0.8284,0.8116,0.8196,0.8104,0.812,0.8276,0.8168,0.8128,0.8172,0.8588
0.1,0.8224,0.8068,0.8076,0.8228,0.7984,0.8172,0.81,0.7912,0.8196,0.8376
0.15,0.8,0.792,0.7852,0.8144,0.7824,0.7796,0.7676,0.7912,0.8008,0.8292
0.2,0.7896,0.8008,0.8116,0.8016,0.7812,0.7944,0.792,0.7756,0.7896,0.8224
0.25,0.8,0.7696,0.7696,0.7652,0.7788,0.8212,0.808,0.7716,0.796,0.8292
0.3,0.8064,0.8012,0.7588,0.79,0.7544,0.7632,0.7708,0.7444,0.772,0.7868
0.35,0.7888,0.7588,0.7664,0.732,0.7604,0.7284,0.7144,0.7636,0.7572,0.7608
0.4,0.7832,0.7376,0.73,0.7372,0.7028,0.754,0.7188,0.7516,0.7508,0.7488
0.45,0.682,0.7836,0.7456,0.73,0.7084,0.6764,0.7384,0.7052,0.7196,0.734
0.5,0.6828,0.7096,0.6708,0.7412,0.6836,0.7,0.6972,0.7292,0.7444,0.6504
0.55,0.5752,0.586,0.6668,0.6488,0.664,0.5896,0.6668,0.6304,0.6652,0.6844
0.6,0.628,0.6732,0.6584,0.604,0.5904,0.6444,0.66,0.6036,0.5368,0.6464
0.65,0.5156,0.5108,0.5788,0.5836,0.54,0.3608,0.4256,0.4944,0.5428,0.556
0.7,0.5612,0.414,0.354,0.402,0.5976,0.5128,0.4268,0.5032,0.406,0.388
0.75,0.238,0.2684,0.356,0.4036,0.2656,0.17,0.1788,0.3708,0.2352,0.3548
0.8,0.2292,0.236,0.0392,0.1244,0.1712,0.094,0.196,0.2164,0.1028,0.1308
0.85,0.0492,0.0936,0.1112,0.116,0.09,0.1232,0.1836,0.1524,0.078,0.1356
0.9,0.1148,0.0608,0.0824,0.0336,0.0612,0.0636,0.0464,0.0252,0.0396,0.0448
0.95,0.0016,0.0576,0.0256,0.032,0.0324,0.0388,0.0348,0.0128,0.0532,0.0076
1.0,0.016,0.0812,0.0128,0.0148,0.0384,0.02,0.0128,0.0116,0.034,0.0564
