,0,1,2,3,4,5,6,7,8,9
0.0,0.8192,0.8168,0.7856,0.8248,0.7476,0.7724,0.808,0.758,0.8448,1.0
0.05,0.8048,0.7756,0.8012,0.8096,0.7212,0.7532,0.784,0.7436,0.8084,0.95
0.1,0.7692,0.762,0.7476,0.7756,0.744,0.7476,0.7188,0.6988,0.7816,0.8992
0.15,0.7064,0.7012,0.75,0.7344,0.6944,0.7388,0.7188,0.6788,0.6936,0.8504
0.2,0.6904,0.6868,0.686,0.6832,0.6576,0.6624,0.7012,0.6388,0.702,0.8
0.25,0.6568,0.7016,0.6308,0.6924,0.6736,0.6412,0.6672,0.6164,0.6548,0.75
0.3,0.592,0.6496,0.6348,0.6564,0.6468,0.5992,0.6136,0.5696,0.6396,0.7
0.35,0.5448,0.6052,0.5696,0.6132,0.6144,0.5892,0.5672,0.5736,0.6348,0.65
0.4,0.5584,0.572,0.5124,0.5196,0.5176,0.5284,0.5972,0.5632,0.5724,0.6
0.45,0.5204,0.4824,0.4864,0.4756,0.5208,0.4436,0.5068,0.49,0.5304,0.55
0.5,0.498,0.4776,0.464,0.4096,0.4504,0.4524,0.4144,0.4524,0.4176,0.5
0.55,0.4148,0.4444,0.4064,0.446,0.3812,0.37,0.4232,0.408,0.4624,0.45
0.6,0.3952,0.396,0.4016,0.3968,0.3028,0.3936,0.3784,0.38,0.3716,0.4
0.65,0.3224,0.2868,0.3572,0.3176,0.3444,0.3356,0.372,0.3348,0.3476,0.35
0.7,0.27,0.288,0.2664,0.3028,0.288,0.2956,0.3016,0.25,0.328,0.3
0.75,0.2492,0.2196,0.2068,0.2688,0.2404,0.2324,0.2316,0.246,0.2164,0.25
0.8,0.2012,0.2056,0.1796,0.1952,0.2072,0.2016,0.1724,0.1492,0.22,0.2
0.85,0.1184,0.1068,0.2044,0.1632,0.164,0.1476,0.1288,0.1992,0.1696,0.15
0.9,0.132,0.1088,0.1188,0.094,0.122,0.1488,0.0968,0.144,0.0772,0.1
0.95,0.1016,0.0616,0.0776,0.1184,0.074,0.084,0.0772,0.0712,0.0624,0.05
1.0,0.0628,0.03,0.0532,0.0548,0.0624,0.0624,0.0628,0.0336,0.0864,0.0
