,SVM-Linear NDVI,SVM-Linear NDVI STD
0.0,0.83112,0.015195086925275127
0.05,0.81516,0.011345797068126632
0.1,0.8058799999999999,0.012051814063543364
0.15,0.792,0.015216365458866241
0.2,0.77716,0.020608045893668717
0.25,0.74948,0.019269365439589455
0.3,0.72468,0.018216524854586774
0.35,0.68476,0.03115749241086858
0.4,0.60156,0.04638177803117657
0.45,0.5248799999999999,0.0322356876079223
0.5,0.42512000000000005,0.023557249414989004
0.55,0.33112,0.03828956341702875
0.6,0.25972,0.030191124523607928
0.65,0.19051999999999997,0.04253147331356182
0.7,0.13455999999999999,0.04307190886567872
0.75,0.09324,0.020983337304738836
0.8,0.05911999999999999,0.013985134965383781
0.85,0.0504,0.015115554902152948
0.9,0.04324,0.012375531413954624
0.95,0.03712,0.005989027003148711
1.0,0.03304,0.006861681037957584
