,0,1,2,3,4,5,6,7,8,9
0.0,0.8568,0.8372,0.85,0.8536,0.8364,0.8504,0.8472,0.8252,0.8448,1.0
0.05,0.8492,0.8352,0.8392,0.852,0.8272,0.8428,0.8452,0.8188,0.8492,0.95
0.1,0.8404,0.8172,0.8096,0.8368,0.8164,0.8396,0.8408,0.8012,0.812,0.9
0.15,0.8364,0.8044,0.8276,0.8,0.7956,0.7912,0.8152,0.7944,0.7872,0.85
0.2,0.7888,0.7324,0.7772,0.7876,0.74,0.7696,0.7916,0.7864,0.7924,0.8
0.25,0.7548,0.7464,0.7204,0.7176,0.7256,0.7504,0.7292,0.716,0.7804,0.75
0.3,0.6892,0.7292,0.7148,0.6776,0.6628,0.746,0.7356,0.726,0.738,0.7
0.35,0.646,0.6564,0.6864,0.6792,0.6224,0.69,0.6852,0.6368,0.6476,0.65
0.4,0.5956,0.5868,0.5952,0.59,0.5936,0.5348,0.6028,0.5848,0.5632,0.6
0.45,0.5524,0.472,0.532,0.5032,0.4844,0.4832,0.5,0.4624,0.4872,0.55
0.5,0.4552,0.5276,0.446,0.4468,0.4224,0.4472,0.4412,0.456,0.442,0.5
0.55,0.3648,0.3456,0.4084,0.3452,0.3652,0.3312,0.3432,0.3552,0.3724,0.45
0.6,0.2628,0.2916,0.3024,0.2888,0.2628,0.3196,0.2832,0.3276,0.2836,0.4
0.65,0.22,0.2564,0.2548,0.2212,0.2464,0.2192,0.2472,0.2076,0.2292,0.35
0.7,0.192,0.1888,0.1756,0.1676,0.1516,0.1876,0.1604,0.1536,0.1208,0.3
0.75,0.1928,0.1328,0.1424,0.1072,0.1596,0.1228,0.0884,0.1796,0.1376,0.25
0.8,0.0852,0.0928,0.0896,0.0752,0.1064,0.0976,0.0732,0.0988,0.0716,0.2
0.85,0.0628,0.0672,0.0852,0.058,0.0716,0.0644,0.0664,0.0868,0.0568,0.15
0.9,0.0432,0.0376,0.0488,0.0568,0.032,0.0248,0.028,0.0828,0.0528,0.1
0.95,0.0312,0.0368,0.0324,0.0228,0.042,0.0252,0.024,0.0588,0.0356,0.05
1.0,0.022,0.0256,0.0312,0.014,0.026,0.0192,0.0172,0.048,0.0276,0.0
