,0,1,2,3,4,5,6,7,8,9
0.0,0.8208,0.82,0.8272,0.8284,0.8236,0.8428,0.8228,0.8224,0.8336,0.8696
0.05,0.816,0.8124,0.8048,0.822,0.8084,0.8128,0.8036,0.8108,0.8176,0.8432
0.1,0.8176,0.788,0.804,0.8064,0.7868,0.8128,0.8064,0.8092,0.8016,0.826
0.15,0.8012,0.7768,0.8004,0.7968,0.7696,0.7792,0.7968,0.8036,0.778,0.8176
0.2,0.804,0.7368,0.782,0.784,0.7848,0.7464,0.7712,0.784,0.7856,0.7928
0.25,0.768,0.7348,0.7556,0.7552,0.7336,0.7268,0.73,0.7412,0.7644,0.7852
0.3,0.7464,0.6936,0.72,0.732,0.732,0.7408,0.6976,0.7244,0.7164,0.7436
0.35,0.6728,0.6316,0.6732,0.7004,0.6944,0.7196,0.7124,0.6344,0.702,0.7068
0.4,0.6612,0.5776,0.578,0.5572,0.6752,0.5848,0.548,0.6532,0.5656,0.6148
0.45,0.5372,0.4976,0.5684,0.5304,0.5304,0.4884,0.5156,0.564,0.4696,0.5472
0.5,0.4252,0.4348,0.4596,0.4056,0.3924,0.4664,0.4028,0.4232,0.418,0.4232
0.55,0.2876,0.3508,0.3812,0.3488,0.3252,0.3388,0.31,0.3492,0.2536,0.366
0.6,0.2628,0.3148,0.294,0.2804,0.2512,0.2504,0.2424,0.2368,0.2092,0.2552
0.65,0.192,0.22,0.1796,0.2556,0.208,0.2076,0.0892,0.1916,0.1816,0.18
0.7,0.1328,0.156,0.2108,0.1008,0.1632,0.1784,0.1124,0.1316,0.0752,0.0844
0.75,0.094,0.1056,0.1036,0.1084,0.1172,0.0968,0.0516,0.1072,0.0844,0.0636
0.8,0.046,0.0448,0.0676,0.0628,0.0772,0.0688,0.06,0.078,0.0428,0.0432
0.85,0.0396,0.0584,0.0796,0.0576,0.0564,0.05,0.0504,0.0536,0.0328,0.0256
0.9,0.0388,0.0448,0.0644,0.038,0.0352,0.0468,0.0348,0.0644,0.038,0.0272
0.95,0.0324,0.0432,0.0428,0.038,0.0452,0.0364,0.034,0.0412,0.0308,0.0272
1.0,0.032,0.0412,0.0404,0.0324,0.0336,0.0344,0.0288,0.0416,0.0248,0.0212
