,0,1,2,3,4,5,6,7,8,9
0.0,0.8192,0.8168,0.7856,0.8248,0.7476,0.7724,0.808,0.758,0.8448,1.0
0.05,0.8036,0.824,0.752,0.8132,0.7296,0.7484,0.7768,0.744,0.82,0.95
0.1,0.7744,0.7628,0.7536,0.766,0.7256,0.74,0.758,0.716,0.7452,0.9
0.15,0.7336,0.7628,0.732,0.7208,0.7012,0.7116,0.742,0.7388,0.7188,0.85
0.2,0.6972,0.6788,0.706,0.7136,0.6948,0.6776,0.6844,0.7152,0.7088,0.8
0.25,0.6384,0.6996,0.6408,0.6084,0.6532,0.6344,0.6404,0.6492,0.6684,0.75
0.3,0.584,0.6812,0.6364,0.606,0.5876,0.6412,0.6232,0.6256,0.6484,0.7
0.35,0.5592,0.578,0.5876,0.5912,0.5524,0.6112,0.572,0.5676,0.602,0.65
0.4,0.536,0.5612,0.5324,0.5004,0.5508,0.4704,0.5288,0.5364,0.552,0.6
0.45,0.5008,0.4892,0.4668,0.4532,0.46,0.4676,0.4928,0.4392,0.4556,0.55
0.5,0.4192,0.486,0.4384,0.41,0.4204,0.3784,0.404,0.4412,0.4084,0.5
0.55,0.3824,0.3456,0.4192,0.35,0.3776,0.3316,0.3716,0.3796,0.35,0.4496
0.6,0.3024,0.2996,0.3248,0.3048,0.3084,0.3036,0.2956,0.3404,0.3072,0.3996
0.65,0.268,0.2604,0.2792,0.2752,0.2468,0.2444,0.2676,0.246,0.2456,0.35
0.7,0.248,0.216,0.2192,0.2396,0.176,0.22,0.1944,0.2096,0.2108,0.2988
0.75,0.2016,0.148,0.1964,0.152,0.1752,0.2152,0.1808,0.24,0.1496,0.25
0.8,0.1508,0.1344,0.1584,0.17,0.1396,0.174,0.1416,0.1352,0.1324,0.1996
0.85,0.132,0.094,0.1512,0.12,0.0848,0.1148,0.1112,0.1048,0.1268,0.15
0.9,0.1144,0.0744,0.0952,0.11,0.0496,0.068,0.0652,0.1204,0.074,0.098
0.95,0.0872,0.06,0.0732,0.0524,0.0408,0.0608,0.0732,0.096,0.0748,0.048
1.0,0.0452,0.0516,0.0632,0.032,0.0264,0.058,0.0336,0.076,0.0236,0.0
