,SVM-Linear NDVI,SVM-Linear NDVI STD
0.0,0.83232,0.012135604183100593
0.05,0.8224600000000001,0.011905572924755291
0.1,0.8129799999999999,0.014418953575839779
0.15,0.8103399999999998,0.00821113065702078
0.2,0.8087399999999999,0.012244926386966242
0.25,0.80134,0.012222765644484889
0.3,0.79312,0.014176412334108601
0.35,0.78892,0.012759379991903115
0.4,0.78138,0.01728157657416965
0.45,0.76774,0.010588064559262525
0.5,0.7585,0.01811083162701872
0.55,0.7347399999999998,0.010712837574092532
0.6,0.7015,0.025000311109175354
0.65,0.69354,0.016904713346677414
0.7,0.63788,0.029838856099611684
0.75,0.5245200000000001,0.04624554753342928
0.8,0.40274,0.07053554186838483
0.85,0.18172000000000002,0.06704944775644646
0.9,0.06642,0.030377103950910863
0.95,0.028119999999999996,0.03265077164308508
1.0,0.00292,0.002625007936495939
