,0,1,2,3,4,5,6,7,8,9
0.0,0.821,0.8282,0.8482,0.8092,0.816,0.8272,0.8152,0.8146,0.8294,1.0
0.05,0.8174,0.8284,0.8464,0.8032,0.8198,0.8242,0.805,0.8168,0.8306,0.95
0.1,0.82,0.8202,0.8392,0.7942,0.8062,0.8134,0.807,0.8086,0.827,0.9
0.15,0.8052,0.8116,0.8282,0.7918,0.811,0.813,0.7978,0.7904,0.8136,0.85
0.2,0.8128,0.7996,0.809,0.7732,0.7884,0.8008,0.8054,0.7994,0.8066,0.8
0.25,0.7878,0.7848,0.8064,0.763,0.7762,0.7898,0.7974,0.7906,0.8,0.75
0.3,0.7648,0.767,0.7998,0.7268,0.776,0.7808,0.7744,0.7396,0.7594,0.7
0.35,0.7664,0.7492,0.7584,0.7532,0.7626,0.7668,0.7592,0.7354,0.7756,0.65
0.4,0.7268,0.7598,0.7512,0.7344,0.7314,0.7184,0.7346,0.7544,0.7468,0.6
0.45,0.7256,0.716,0.7076,0.6964,0.7212,0.6988,0.716,0.69,0.7216,0.55
0.5,0.6972,0.6536,0.6924,0.6466,0.6564,0.693,0.6746,0.6498,0.6554,0.5
0.55,0.6216,0.6562,0.659,0.639,0.6388,0.6296,0.6516,0.6556,0.6144,0.45
0.6,0.5764,0.581,0.5824,0.5706,0.575,0.5582,0.5884,0.5806,0.5832,0.4
0.65,0.519,0.542,0.5158,0.476,0.5128,0.5208,0.5446,0.5618,0.5036,0.35
0.7,0.4334,0.4904,0.425,0.4384,0.4538,0.4636,0.4724,0.4428,0.4378,0.3
0.75,0.3248,0.3352,0.3774,0.2928,0.3404,0.3698,0.3382,0.3752,0.349,0.25
0.8,0.247,0.2214,0.2406,0.2248,0.2336,0.2588,0.3012,0.2466,0.255,0.2
0.85,0.192,0.1656,0.1876,0.1684,0.2114,0.1778,0.1662,0.1646,0.196,0.15
0.9,0.0826,0.0998,0.0824,0.09,0.0882,0.0766,0.0774,0.0928,0.089,0.1
0.95,0.038,0.0288,0.04,0.0412,0.0342,0.0394,0.042,0.0502,0.0254,0.05
1.0,0.0112,0.0178,0.0124,0.0172,0.0106,0.011,0.0116,0.0156,0.0066,0.0
