,0,1,2,3,4,5,6,7,8,9
0.0,0.8308,0.83,0.8354,0.8194,0.8306,0.8266,0.8364,0.8218,0.8288,0.8634
0.05,0.8194,0.806,0.8224,0.8106,0.8274,0.8142,0.8272,0.821,0.8272,0.8492
0.1,0.8072,0.8008,0.8282,0.8082,0.8126,0.7978,0.8174,0.7956,0.8202,0.8418
0.15,0.8012,0.8104,0.816,0.8056,0.8198,0.7992,0.8172,0.8008,0.8122,0.821
0.2,0.8174,0.8072,0.8112,0.8092,0.8018,0.792,0.8218,0.7864,0.8186,0.8218
0.25,0.8106,0.7986,0.7864,0.7822,0.8018,0.7954,0.8144,0.8106,0.7942,0.8192
0.3,0.8044,0.7828,0.7962,0.788,0.7922,0.7662,0.811,0.786,0.7904,0.814
0.35,0.8006,0.7784,0.7728,0.7774,0.7876,0.783,0.8078,0.779,0.7976,0.805
0.4,0.774,0.7852,0.78,0.7974,0.8,0.738,0.7814,0.7838,0.7814,0.7926
0.45,0.785,0.7778,0.7588,0.7596,0.7662,0.76,0.7814,0.7562,0.76,0.7724
0.5,0.7646,0.7268,0.7574,0.7888,0.7784,0.7458,0.7526,0.7594,0.7418,0.7694
0.55,0.7394,0.7416,0.7498,0.7254,0.7344,0.7208,0.7204,0.744,0.7268,0.7448
0.6,0.7546,0.7006,0.6686,0.7084,0.6658,0.697,0.7012,0.6952,0.7198,0.7038
0.65,0.7182,0.6998,0.6982,0.681,0.6966,0.7036,0.7094,0.6932,0.6726,0.6628
0.7,0.658,0.6548,0.6214,0.5996,0.6924,0.6116,0.6628,0.6468,0.6266,0.6048
0.75,0.5304,0.5572,0.5628,0.4884,0.487,0.5504,0.5394,0.4238,0.5786,0.5272
0.8,0.4732,0.4434,0.3106,0.423,0.3662,0.3022,0.5258,0.3794,0.4344,0.3692
0.85,0.2714,0.2274,0.2016,0.1526,0.243,0.0992,0.2358,0.1082,0.1962,0.0818
0.9,0.0594,0.0514,0.058,0.0984,0.0708,0.0186,0.0668,0.0656,0.1308,0.0444
0.95,0.0158,0.0254,0.1042,0.0224,0.0118,0.016,0.0688,0.0088,0.0018,0.0062
1.0,0.0,0.0024,0.0064,0.0036,0.0006,0.0016,0.0028,0.0078,0.004,0.0
