,0,1,2,3,4,5,6,7,8,9
0.0,0.7018,0.7238,0.7312,0.7062,0.7862,0.776,0.7628,0.7136,0.6954,1.0
0.05,0.784,0.6648,0.8016,0.7686,0.7766,0.715,0.7434,0.7776,0.7928,0.9534
0.1,0.7828,0.73,0.7828,0.741,0.7612,0.7472,0.7202,0.6078,0.781,0.9052
0.15,0.7382,0.6954,0.762,0.7332,0.7572,0.7156,0.7222,0.724,0.7126,0.8564
0.2,0.74,0.7126,0.72,0.6938,0.7196,0.701,0.6878,0.7176,0.7358,0.8066
0.25,0.7016,0.6752,0.7124,0.678,0.7108,0.6878,0.7034,0.687,0.7004,0.7578
0.3,0.6568,0.6622,0.6716,0.6438,0.6706,0.6634,0.6356,0.6464,0.6416,0.7076
0.35,0.6338,0.6186,0.641,0.6356,0.6218,0.6,0.5994,0.6132,0.6184,0.66
0.4,0.617,0.6096,0.5948,0.5768,0.6074,0.58,0.5878,0.5996,0.6154,0.6102
0.45,0.5902,0.5428,0.571,0.546,0.5566,0.5308,0.5496,0.5332,0.5242,0.5604
0.5,0.5628,0.4994,0.5564,0.4894,0.5102,0.519,0.5004,0.5056,0.5136,0.5098
0.55,0.4652,0.4812,0.4836,0.4686,0.494,0.463,0.4728,0.484,0.479,0.4588
0.6,0.4256,0.4448,0.4452,0.4224,0.4306,0.4032,0.4042,0.4098,0.4286,0.4102
0.65,0.3618,0.3634,0.3992,0.3708,0.358,0.3504,0.3664,0.4044,0.3766,0.3568
0.7,0.3076,0.3526,0.3084,0.3136,0.3062,0.3314,0.3246,0.299,0.2992,0.3032
0.75,0.2288,0.242,0.2558,0.2114,0.2462,0.2574,0.2336,0.2736,0.2486,0.2532
0.8,0.1998,0.1924,0.1792,0.1864,0.2032,0.203,0.2486,0.176,0.2006,0.2134
0.85,0.1444,0.1592,0.1522,0.1668,0.1716,0.1486,0.128,0.1418,0.1682,0.1506
0.9,0.1006,0.0972,0.098,0.0968,0.0916,0.0812,0.0862,0.0892,0.099,0.1
0.95,0.065,0.0394,0.0824,0.0804,0.0676,0.0532,0.0608,0.0332,0.0376,0.0494
1.0,0.02,0.0216,0.0226,0.0252,0.017,0.0246,0.0254,0.0176,0.0126,0.0
