,0,1,2,3,4,5,6,7,8,9
0.0,0.925,0.938,0.935,0.946,0.942,0.943,0.934,0.921,0.93,0.961
0.05,0.921,0.943,0.935,0.944,0.948,0.952,0.933,0.925,0.934,0.953
0.1,0.916,0.924,0.913,0.933,0.939,0.932,0.931,0.916,0.91,0.946
0.15,0.931,0.916,0.927,0.935,0.915,0.936,0.913,0.914,0.927,0.95
0.2,0.9,0.92,0.913,0.94,0.925,0.926,0.926,0.908,0.911,0.928
0.25,0.889,0.871,0.911,0.928,0.903,0.893,0.917,0.871,0.902,0.878
0.3,0.848,0.912,0.911,0.912,0.885,0.724,0.824,0.842,0.877,0.902
0.35,0.735,0.752,0.815,0.787,0.787,0.864,0.829,0.855,0.795,0.874
0.4,0.727,0.704,0.659,0.753,0.607,0.782,0.678,0.708,0.68,0.786
0.45,0.715,0.543,0.545,0.88,0.522,0.607,0.572,0.745,0.585,0.536
0.5,0.406,0.532,0.693,0.549,0.641,0.4,0.541,0.464,0.405,0.546
0.55,0.388,0.405,0.431,0.181,0.378,0.324,0.3,0.467,0.477,0.32
0.6,0.285,0.208,0.191,0.273,0.355,0.225,0.16,0.394,0.376,0.291
0.65,0.185,0.291,0.219,0.172,0.138,0.171,0.156,0.076,0.097,0.222
0.7,0.237,0.142,0.118,0.152,0.131,0.118,0.232,0.169,0.086,0.073
0.75,0.127,0.184,0.103,0.113,0.112,0.153,0.075,0.197,0.076,0.074
0.8,0.136,0.101,0.074,0.057,0.118,0.113,0.061,0.082,0.082,0.05
0.85,0.113,0.121,0.081,0.068,0.071,0.079,0.101,0.092,0.07,0.051
0.9,0.099,0.104,0.08,0.063,0.065,0.082,0.067,0.077,0.082,0.05
0.95,0.095,0.062,0.073,0.069,0.052,0.061,0.065,0.072,0.075,0.053
1.0,0.075,0.062,0.065,0.054,0.058,0.057,0.066,0.079,0.069,0.039
