,SVM-Linear NDVI,SVM-Linear NDVI STD
0.0,0.9375,0.011443095929181211
0.05,0.9387999999999999,0.01097269337947612
0.1,0.9259999999999999,0.012055427546683394
0.15,0.9263999999999999,0.012094075684675796
0.2,0.9197000000000001,0.011709919821340451
0.25,0.8962999999999999,0.019453934192228475
0.3,0.8636999999999999,0.058509353478264026
0.35,0.8093,0.04677380558484511
0.4,0.7083999999999999,0.056022217814799956
0.45,0.625,0.11733712115098102
0.5,0.5177,0.10020872661045487
0.55,0.3670999999999999,0.08903488704497306
0.6,0.27579999999999993,0.08054370794102347
0.65,0.1727,0.06261709031885783
0.7,0.1458,0.05475156009953811
0.75,0.12140000000000002,0.044249795981952784
0.8,0.08739999999999999,0.028667441849984147
0.85,0.08470000000000001,0.021863465212795318
0.9,0.0769,0.016468488428241102
0.95,0.0677,0.012445882853377659
1.0,0.0624,0.01137443527291697
