,SVM-RBF NDVI,SVM-RBF NDVI STD
0.0,0.8971,0.049119921281152994
0.05,0.8413999999999998,0.05051776365244648
0.1,0.8300000000000001,0.047391982444291145
0.15,0.7836,0.04154301652771765
0.2,0.7470000000000001,0.030085064585456896
0.25,0.6911,0.05454345871769491
0.3,0.6769,0.03523713319150062
0.35,0.629,0.05737595315112423
0.4,0.5954999999999998,0.02464075215302219
0.45,0.5472,0.0422000526592615
0.5,0.4807,0.03842756533762942
0.55,0.4766,0.028833622349225874
0.6,0.39790000000000003,0.03415471335620377
0.65,0.36119999999999997,0.04259316585765584
0.7,0.3246,0.03557839544192826
0.75,0.3032,0.04298268385188519
0.8,0.2664,0.042190572933351406
0.85,0.2169,0.040112203740119895
0.9,0.1824,0.03718183546960651
0.95,0.1379,0.04095105479580335
1.0,0.10289999999999999,0.049119921281152994
