,0,1,2,3,4,5,6,7,8,9
0.0,0.928,0.926,0.897,0.92,0.949,0.949,0.941,0.934,0.932,1.0
0.05,0.905,0.932,0.87,0.934,0.935,0.928,0.934,0.922,0.9,0.95
0.1,0.894,0.909,0.859,0.899,0.908,0.926,0.918,0.882,0.875,0.9
0.15,0.929,0.846,0.867,0.863,0.881,0.9,0.927,0.898,0.822,0.85
0.2,0.839,0.868,0.799,0.823,0.887,0.863,0.855,0.831,0.853,0.8
0.25,0.797,0.786,0.741,0.763,0.763,0.858,0.782,0.753,0.825,0.75
0.3,0.813,0.774,0.717,0.739,0.746,0.704,0.739,0.792,0.727,0.7
0.35,0.643,0.694,0.669,0.712,0.644,0.764,0.773,0.698,0.668,0.65
0.4,0.706,0.592,0.597,0.65,0.644,0.664,0.616,0.652,0.603,0.6
0.45,0.633,0.564,0.561,0.588,0.52,0.584,0.513,0.61,0.577,0.55
0.5,0.358,0.435,0.564,0.487,0.533,0.417,0.527,0.497,0.369,0.5
0.55,0.485,0.442,0.417,0.32,0.459,0.394,0.44,0.415,0.422,0.45
0.6,0.352,0.31,0.324,0.387,0.394,0.369,0.312,0.402,0.406,0.4
0.65,0.271,0.331,0.313,0.284,0.252,0.297,0.253,0.264,0.28,0.35
0.7,0.309,0.262,0.192,0.343,0.201,0.234,0.309,0.22,0.227,0.3
0.75,0.147,0.168,0.203,0.308,0.227,0.2,0.192,0.23,0.182,0.25
0.8,0.171,0.179,0.171,0.171,0.139,0.189,0.124,0.136,0.146,0.2
0.85,0.13,0.182,0.214,0.132,0.112,0.107,0.151,0.102,0.122,0.15
0.9,0.108,0.14,0.15,0.111,0.12,0.101,0.086,0.112,0.085,0.1
0.95,0.086,0.079,0.102,0.1,0.066,0.063,0.079,0.086,0.099,0.05
1.0,0.07,0.077,0.102,0.086,0.057,0.053,0.066,0.066,0.068,0.0
