,0,1,2,3,4,5,6,7,8,9
0.0,0.927,0.885,0.825,0.881,0.884,0.892,0.943,0.883,0.851,1.0
0.05,0.818,0.826,0.799,0.86,0.887,0.782,0.845,0.855,0.792,0.95
0.1,0.856,0.759,0.771,0.813,0.822,0.862,0.891,0.824,0.801,0.901
0.15,0.827,0.787,0.76,0.788,0.814,0.725,0.803,0.729,0.753,0.85
0.2,0.755,0.774,0.726,0.716,0.746,0.699,0.769,0.73,0.755,0.8
0.25,0.729,0.694,0.646,0.572,0.677,0.735,0.676,0.684,0.748,0.75
0.3,0.699,0.653,0.623,0.681,0.726,0.633,0.671,0.722,0.661,0.7
0.35,0.599,0.604,0.573,0.633,0.605,0.762,0.683,0.577,0.604,0.65
0.4,0.606,0.613,0.566,0.582,0.565,0.614,0.6,0.64,0.569,0.6
0.45,0.59,0.528,0.555,0.537,0.478,0.592,0.494,0.61,0.538,0.55
0.5,0.409,0.449,0.536,0.503,0.514,0.462,0.496,0.494,0.444,0.5
0.55,0.516,0.509,0.493,0.452,0.495,0.471,0.465,0.426,0.49,0.449
0.6,0.34,0.404,0.383,0.462,0.395,0.403,0.378,0.374,0.44,0.4
0.65,0.324,0.44,0.322,0.381,0.368,0.392,0.288,0.37,0.377,0.35
0.7,0.353,0.355,0.26,0.363,0.278,0.316,0.355,0.34,0.326,0.3
0.75,0.244,0.31,0.293,0.39,0.294,0.307,0.326,0.34,0.278,0.25
0.8,0.264,0.319,0.315,0.303,0.281,0.289,0.25,0.229,0.214,0.2
0.85,0.224,0.239,0.294,0.243,0.236,0.195,0.189,0.184,0.216,0.149
0.9,0.144,0.219,0.21,0.223,0.184,0.18,0.177,0.202,0.185,0.1
0.95,0.111,0.182,0.176,0.172,0.163,0.157,0.127,0.134,0.107,0.05
1.0,0.073,0.115,0.175,0.119,0.116,0.108,0.057,0.117,0.149,0.0
